URL of Story,Headline,Media Outlet,Publication Date,Conflicts,Entered by,Pub Status,Internal Notes,Notes,Created
http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html,How the Trump Organization's Foreign Business Ties Could Upend U.S. National Security,Newsweek,2016-09-14,"Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization",Lynn Walsh,Rejected,060518 LW: There are better sourced overarching explainer articles about all conflicts,,2018-05-29
https://www.washingtonpost.com/news/wonk/wp/2016/09/30/trumps-unthinkable-conflict-millions-in-debts-to-german-bank-now-facing-federal-fines/?utm_term=.66663f022cff,Trump’s unusual conflict: Millions in debts to German bank now facing federal fines,Washington Post,2016-09-13,"Trump Organization Inc.,U.S Department of Justice,Trump Organization LLC D/B/A The Trump Organization",Lynn Walsh,Approved,,,2018-05-29
https://www.washingtonpost.com/politics/in-little-moscow-russians-helped-donald-trumps-brand-survive-the-recession/2016/11/04/f9dbd38e-97cf-11e6-bb29-bf2701dbe0a3_story.html?utm_term=.a6cf0ab24f58,"In ""Little Moscow,"" Russians helped Donald Trump's brand survive the recession",Washington Post,2016-11-04,"Trump Florida,Trump Miami Resort",Lynn Walsh,To Discuss,060518: LW check this one once descriptions are added. Consider adding Trump Sunny Isles,,2018-05-29
https://www.nytimes.com/2016/11/06/us/politics/donald-trump-business-tax-records.html?mtrref=undefined,Thin Line Splits Donald Trump's Politics and Businesses,New York Times,2016-11-05,"Trump Organization Inc.,Trump Entrepreneur Initiative (Formerly Trump University Ca)",Lynn Walsh,Approved,060518 LW: Add Atlantic City? Add Apprentice?,,2018-05-29
https://www.nytimes.com/2016/11/11/world/europe/trump-campaign-russia.html,"Russian Officials Were in Contact with Trump Allies, Diplomat Says",New York Times,2016-11-10,,Lynn Walsh,Rejected,060518 LW: Not about conflicts with his business,,2018-05-29
http://www.huffingtonpost.com/entry/donald-trump-transition-team_us_58261cd7e4b060adb56e41bf,Here’s Who Will Help Donald Trump Decide Who Should Lead The U.S. Government,Huffington Post,2016-11-11,,Lynn Walsh,Rejected,060518 LW: Not about conflicts with his business,,2018-05-29
http://economictimes.indiatimes.com/news/politics-and-nation/donald-trump-meets-indian-partners-hails-pm-modis-work/articleshow/55465060.cms,"Donald Trump meets Indian partners, hails PM Modi's work",Economic Times,2016-11-17,DT India Venture,Lynn Walsh,Approved,,,2018-05-29
http://www.foxnews.com/politics/2016/11/16/pence-removing-lobbyists-from-trump-transition-team.html,Pence removing lobbyists from Trump transition team,Fox News,2016-11-16,,Lynn Walsh,Rejected,060518 LW: Not about conflicts with his business,,2018-05-29
http://www.cnn.com/2016/11/16/politics/trump-children-security-clearance-controversy/,Trump denies inquiry about security clearance for kids,CNN,2016-11-17,,Lynn Walsh,Rejected,060518 LW: Not about conflicts with his business,,2018-05-29
https://www.taiwannews.com.tw/en/news/3031091,"Trump wants to expand business empire to Taiwan, creating another potential conflict of interest",Taiwan News,2016-11-16,"Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization",Lynn Walsh,Approved,,,2018-05-29
https://www.washingtonpost.com/business/capitalbusiness/2016/11/18/9da9c572-ad18-11e6-977a-1030f822fc35_story.html?tid=pm_business_pop&amp;utm_term=.e1df6827c09c,"For foreign diplomats, Trump hotel is place to be",Washington Post,2016-11-18,"Trump Old Post Office,Trump International Hotel DC",Lynn Walsh,To Discuss,061218 LW: Why is there a Trump Old Post Office and a Trump International Hotel D.C.?,,2018-05-29
https://www.washingtonpost.com/politics/source-trump-nearing-settlement-in-trump-university-fraud-cases/2016/11/18/8dc047c0-ada0-11e6-a31b-4b6397e625d0_story.html,Trump agrees to $25 million settlement in Trump University fraud cases,Washington Post,2016-11-18,Trump Entrepreneur Initiative (Formerly Trump University Ca),Lynn Walsh,Approved,,,2018-05-29
https://www.washingtonpost.com/business/economy/a-scramble-to-assess-the-dangers-of-president-elects-global-business-empire/2016/11/20/1bbdc2a2-ad18-11e6-a31b-4b6397e625d0_story.html,A scramble to assess the dangers of President-elect Donald Trump’s global business empire,Washington Post,2016-11-20,"Trump Towers Istanbul,DT India Venture,Trump Canadian Services,Trump Toronto Hotel,Toronto Development,Trump Toronto Development,Trump Toronto Member (Formerly Trump Toronto Management),THC Jeddah Hotel Manager,DT Jeddah Technical Services Manager,DT Jeddah Technical Services Advisor,THC Jeddah Hotel Advisor,Scotland Acquisitions,Trump Scotland,Trump International Golf Club Scotland,Trump International Golf Links - Scotland,Trump International Hotel And Tower (Panama),Panama Ocean Club Management,Trump Panama Condominium,Trump Panama Hotel Management,Trump Marks Panama,Trump Brazil,THC Development Brazil,Trump Drinks Israel,Trump Drinks Israel Holdings,THC Qatar Hotel Manager,DT Marks Qatar,DJ Aerospace (Bermuda)",Lynn Walsh,Approved,,,2018-05-29
https://www.reuters.com/article/us-usa-trump-argentina/trump-organization-says-it-has-no-plans-to-build-buenos-aires-tower-idUSKBN14N1W7,Trump Organization says it has no plans to build Buenos Aires tower,Reuters,2017-01-04,"Trump Organization Inc.,TC Marks Buenos Aires,Trump Organization LLC D/B/A The Trump Organization",Lynn Walsh,Approved,,,2018-05-29
https://www.nytimes.com/2016/11/21/business/with-a-meeting-trump-renewed-a-british-wind-farm-fight.html?_r=0,"With a Meeting, Trump Renewed a British Wind Farm Fight",New York Times,2016-11-21,"Trump International Golf Club Scotland,Trump International Golf Links - Scotland",Lynn Walsh,Approved,,,2018-05-29
https://twitter.com/realDonaldTrump/status/800887087780294656?lang=en,Many people would like to see @Nigel_Farage represent Great Britain as their Ambassador to the United States. He would do a great job!,@realDonaldTrump,2016-11-21,,Lynn Walsh,Rejected,060518 LW: Not tied to a business,,2018-05-29
http://www.npr.org/sections/parallels/2016/11/22/502895797/whos-the-new-philippine-envoy-the-man-building-trump-tower-manila,Who's The New Philippine Envoy? The Man Building Trump Tower Manila,NPR,2016-11-22,"Trump Marks Philippines,Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization",Lynn Walsh,Approved,,,2018-05-29
https://www.bloomberg.com/politics/articles/2016-11-22/trump-s-business-partner-will-be-manila-s-man-in-washington?cmpid=socialflow-twitter-business&amp;utm_content=business&amp;utm_campaign=socialflow-organic&amp;utm_source=twitter&amp;utm_medium=social,Trump’s Business Partner Will Be Manila’s Man in Washington,Bloomberg Politics,2016-11-22,"Trump Marks Philippines,Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization",Lynn Walsh,Approved,,,2018-05-29
https://www.buzzfeed.com/paulmcleod/trump-foundation-received-150000-donation-in-exchange-for-20?utm_term=.hwJDzPkYww#.exE32wrn11,"Trump Foundation Received $150,000 Donation In Exchange For 2015 Ukraine Speech",BuzzFeed,2016-11-22,Donald J. Trump Foundation,Lynn Walsh,Approved,,,2018-05-29
https://www.bloomberg.com/politics/articles/2016-11-25/trump-s-stock-in-oil-pipeline-company-raises-concern,Trump’s Stock in Dakota Access Oil Pipeline Company Raises Concern,Associated Press,2016-11-25,Energy Transfer Partners,Lynn Walsh,Approved,,,2018-05-29
http://www.huffingtonpost.com/entry/donald-trump-turkey-business_us_5836188ae4b01ba68ac41d9f?,Trump Touted His Turkish Business Partner In A Call With President Erdogan,Huffington Post,2016-11-23,"Trump Towers Istanbul,Dogan Holding",Lynn Walsh,Approved,,,2018-05-29
https://www.washingtonpost.com/politics/trumps-presidency-overseas-business-deals-and-relations-with-foreign-governments-could-all-become-intertwined/2016/11/25/d2bc83f8-b0e2-11e6-8616-52b15787add0_story.html?utm_term=.6474a90a3947,"Trump’s presidency, overseas business deals and relations with foreign governments could all become intertwined",Washington Post,2016-11-25,"Trump Organization LLC D/B/A The Trump Organization,Trump Organization Inc.,Trump Scotland,Trump International Golf Links - Scotland,Trump International Golf Club Scotland,TC Marks Buenos Aires",Lynn Walsh,Approved,,,2018-05-29
https://www.nytimes.com/2016/11/26/us/politics/donald-trump-international-business.html?_r=1,"Potential Conflicts Around the Globe for Trump, the Businessman President",New York Times,2016-11-26,"Trump Hotel Rio De Janeiro,Trump Marks Philippines,Jose E. B. Antonio,DT India Venture,Trump International Golf Club Scotland,Trump International Golf Links - Scotland,Trump Scotland,Trump Towers Istanbul,DT Marks Rio,THC Rio,Trump Brazil,Trump Marks Mumbai,Trump Marks Istanbul II",Lynn Walsh,Approved,,,2018-05-29
http://m.govexec.com/excellence/promising-practices/2016/11/gsas-trump-hotel-lease-debacle/133424/,GSA's Trump Hotel Lease Debacle,Government Executive,2016-11-28,"General Services Administration,Trump Old Post Office,Trump International Hotel DC",Lynn Walsh,Approved,,,2018-05-29
https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,"Trump's Stock Portfolio: Big Oil, Big Banks And More Foreign Connections",Forbes,2016-11-29,"JP Morgan Chase,Wells Fargo,Morgan Stanley,Goldman Sachs,Ford Motors,Google,Berkshire Hathaway,Apple,Walmart,Merck,Celgene,Pfizer,GlaxoSmithKline,Proctor & Gamble,Johnson & Johnson,Shell,Chevron,Exxon Mobil,Phillips 66,Kinder Morgan,TransCanada,Bank of Nova Scotia,Toronto Dominion Bank,Royal Bank of Canada,Deutsche Bank,Bank of China",Lynn Walsh,Approved,060518 LW: This could be good to follow-up on,,2018-05-29
http://www.huffingtonpost.com/entry/donald-trump-bahrain_us_583de2a5e4b0c33c8e1282d0?inyv55o07g8horms4i,Bahrain To Hold Major Celebration At Donald Trump’s D.C. Hotel,Huffington Post,2016-11-29,"Trump Old Post Office,Trump International Hotel DC,Bahrain",Lynn Walsh,Approved,,,2018-05-29
https://www.publicintegrity.org/2016/11/29/20486/donald-trump-offering-huge-perks-inauguration-donors,Donald Trump offering huge perks for inauguration donors,Center for Public Integrity,2016-11-29,,Lynn Walsh,Rejected,,,2018-05-29
https://www.nytimes.com/2016/12/01/opinion/trumps-business-empire-isnt-just-an-ethical-disaster.html,Trump's Business Empire Isn't Just An Ethical Disaster,New York Times,2016-12-01,,Lynn Walsh,Rejected,,,2018-05-29
https://www.wsj.com/articles/donald-trump-had-investments-in-carrier-corp-s-parent-1480723443?mod=e2tw&amp;mg=id-wsj,Donald Trump Had Investments in Carrier Corp.’s Parent,Wall Street Journal,2016-12-02,Holds United Technologies,Lynn Walsh,Approved,,,2018-05-29
https://www.reuters.com/article/us-laddercapital-m-a-exclusive-idUSKBN13R276,Exclusive: Trump financier Ladder Capital explores sale - sources,Reuters,2016-12-02,Ladder Capital,Lynn Walsh,Approved,,,2018-05-29
http://www.politico.eu/article/donald-trump-abandons-plans-for-a-wall-in-ireland/?utm_content=buffer28049&amp;utm_medium=social&amp;utm_source=twitter.com&amp;utm_campaign=buffer,Donald Trump abandons plans for a wall … in Ireland,Politico,2016-12-06,,Lynn Walsh,Rejected,,,2018-05-29
http://variety.com/2016/tv/news/donald-trump-mark-burnett-celebrity-apprentice-executive-producer-1201937420/,"Donald Trump to Remain Executive Producer on ""Celebrity Apprentice"" ",Variety,2016-12-08,"NBC,MGM",Lynn Walsh,Approved,,,2018-05-29
http://www.newsweek.com/2016/12/23/donald-trump-foreign-business-deals-jeopardize-us-531140.html,How Donald Trump's Business Ties Are Already Jeopardizing U.S. Interests,Newsweek,2016-12-13,,Lynn Walsh,Rejected,,,2018-05-29
https://www.washingtonpost.com/world/the_americas/trump-company-pulls-its-name-off-a-brazil-hotel-caught-up-in-an-investigation/2016/12/13/c332dc2c-b078-4885-8a29-5f29b7da442e_story.html?utm_term=.3f329b9e8342,Trump company pulls its name off a Brazil hotel caught up in an investigation,Washington Post,2016-12-13,"Trump Hotel Rio De Janeiro,Trump International Hotels Management D/B/A Trump Hotel Collection",Lynn Walsh,Approved,,,2018-05-29
https://www.nytimes.com/2016/12/14/world/americas/donald-trump-hotel-rio-brazil-investigation.html,Trump Firm Quits Brazil Hotel Project That Was Named in Criminal Inquiry,New York Times,2016-12-14,"Trump Hotel Rio De Janeiro,Trump International Hotels Management D/B/A Trump Hotel Collection",Lynn Walsh,Approved,,,2018-05-29
https://www.nytimes.com/2016/12/21/business/economy/trump-organization-labor-unions-hotels.html,Trump Organization Moves to Avoid Possible Conflicts of Interest,New York Times,2016-12-21,"National Labor Relations Board,Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization,Trump Hotel Rio De Janeiro,Trump Entrepreneur Initiative (Formerly Trump University Ca),Trump Las Vegas,Trump Old Post Office,Trump International Hotel DC",Lynn Walsh,Approved,,,2018-05-29
http://www.politico.com/story/2016/12/mar-a-lago-donald-trump-new-years-eve-party-233070,Mar-a-Lago sold tickets to New Year's Eve party with Trump,Politico,2016-12-30,Mar-A-Lago Club,Lynn Walsh,Approved,,,2018-05-29
http://mobile.nytimes.com/2016/12/31/world/asia/indonesia-donald-trump-resort.html,"Trump's Indonesia Projects, Still Moving Ahead, Create Potential Conflicts",New York Times,2016-12-31,"Hary Tanoesoedibjo,DT Bali Hotel Manager,DT Bali Golf Manager,DT Marks Bali,DT Bali Technical Services Manager,Trump International Hotels Management D/B/A Trump Hotel Collection,Carl C. Icahn",Lynn Walsh,Approved,,,2018-05-29
http://money.cnn.com/2017/01/23/news/donald-trump-resigns-business/,Trump Organization documents say he has resigned from more than 400 businesses,CNN,2017-01-23,"Trump Miami Resort,Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization,Trump International Hotels Management D/B/A Trump Hotel Collection",Lynn Walsh,Approved,,,2018-05-29
https://www.nytimes.com/2017/02/07/us/politics/melania-trump-libel-suit-daily-mail.html,"In Libel Suit, Melania Trump Cites Loss of Chance to Make Millions",New York Times,2017-02-07,The Daily Mail,Lynn Walsh,Rejected,,,2018-05-29
https://www.forbes.com/sites/danalexander/2017/02/09/where-did-trumps-foundation-donate-its-money-irs-documents-reveal-surprising-answers/#4d1fcb907b52,Where Did Trump's Foundation Donate Its Money? IRS Documents Reveal Surprising Answers,Forbes,2017-02-09,"Police Athletic League,Donald J. Trump Foundation,William J. Clinton Foundation,Dana-Farber Cancer Institute,Operation Smile,New York Presbyterian Hospital,Hospital for Special Surgery,United Way",Lynn Walsh,Approved,,,2018-05-29
http://www.mcclatchydc.com/news/politics-government/congress/article134287344.html,White House says Melania isn’t in business. So why are her companies still active?,McClatchy,2017-02-22,"New Sunshine LLC,Melania LLC",Lynn Walsh,Approved,,,2018-05-29
https://therealdeal.com/2017/02/28/related-companies-makes-80m-stock-buy-in-trumps-second-largest-lender/,Related makes $80M stock buy in Trump Organization’s second-largest lender,The Real Deal,2017-02-28,"Ladder Capital,Related Companies",Lynn Walsh,Approved,,,2018-05-29
https://www.propublica.org/article/trump-pull-money-his-businesses-whenever-he-wants-without-telling-us,Trump Lawyer Confirms President Can Pull Money From His Businesses Whenever He Wants,ProPublica,2017-04-04,Donald J. Trump Revocable Trust,Lynn Walsh,Approved,,,2018-05-29
https://www.propublica.org/article/william-emanuel-nlrb-member-is-under-investigation-for-a-conflict-of-interest,NLRB Member Is Under Investigation for a Conflict of Interest,ProPublica,2018-01-26,National Labor Relations Board,Lynn Walsh,Approved,,,2018-05-29
https://www.bloomberg.com/news/articles/2018-02-14/trump-s-nlrb-scorned-by-grad-students,Trump’s Labor Board Picks Are Scaring Away Unions,Bloomberg,2018-02-14,National Labor Relations Board,Lynn Walsh,Rejected,,,2018-05-29
https://www.apnews.com/ce4dbdd4446c4862bb9c483425554c67/Trump-officials-fight-eviction-from-Panama-hotel-they-manage,Trump officials fight eviction from Panama hotel they manage,Associated Press,2018-02-24,"Trump International Hotel And Tower (Panama),Trump Marks Panama,Trump Panama Hotel Management,Panama Ocean Club Management,Trump Panama Condominium",Lynn Walsh,Approved,,,2018-05-29
https://www.washingtonpost.com/news/post-politics/wp/2018/02/26/israel-focused-charity-praises-trump-and-pays-him-at-mar-a-lago-gala/?utm_term=.59e4b7dbed4c,Israel-focused charity praises Trump — and pays him — at Mar-a-Lago gala,Washington Post,2018-02-26,"Mar-A-Lago Club,Truth About Israel",Lynn Walsh,Approved,,,2018-05-29
http://www.businessinsider.com/trump-organization-panama-hotel-conflict-2018-3,"Ethics experts say their ""fear has been realized"" as Trump faces one of his most consequential conflicts of interest yet",Business Insider,2018-03-03,"Trump International Hotel And Tower (Panama),Panama Ocean Club Management,Trump Panama Condominium,Trump Panama Hotel Management,Trump Marks Panama",Lynn Walsh,Approved,,,2018-05-29
https://nypost.com/2018/03/05/bank-reported-trump-lawyers-payment-to-stormy-daniels-as-suspicious/,Bank reported Trump lawyer’s payment to Stormy Daniels as suspicious,New York Post,2018-03-05,"Stephanie Clifford (Aka Stormy Daniels),U.S. Treasury Department",Lynn Walsh,Approved,,,2018-05-29
https://www.cnn.com/2018/03/08/opinions/stormy-daniels-trump-lawsuit-could-be-trouble-rangappa-opinion/index.html,Stormy Daniels suit could back Trump into a corner,CNN,2018-03-08,Stephanie Clifford (Aka Stormy Daniels),Lynn Walsh,Approved,,,2018-05-29
https://www.cnn.com/2018/06/07/politics/court-case-emoluments-foreign-payments-federal-judge-trump-businesses/index.html,Democratic lawmakers make their case in court to stop Trump business from accepting foreign payments,CNN,2018-06-07,"Lido City Development,China Trademark,Trump International Hotel DC,Saudi Arabia and Emirati Real Estate and Hotel Deals,Trump Old Post Office",Bob Goldstraw,Approved,,,2018-06-02
https://www.usatoday.com/story/news/2018/06/07/cozy-land-deals-meant-big-money-trump-family-and-friends/677126002/,Cozy land deals meant big money for Trump family and friends,USA TODAY,2018-06-07,"Signature Bank,Kushner Companies",Bob Goldstraw,Approved,061218 LW: I am adding since we will want this later once Kushner info. is added. Thanks! Need to determine if you want this one listed as a conflict of interest as it relates to Cohen and Trump family members as opposed to POTUS himself. It also involves multiple properties ,,2018-06-05
https://mobile.reuters.com/article/amp/idUSKCN1J12RP,Exclusive: China's ZTE signed preliminary agreement to lift U.S. ban: sources,Reuters,2018-06-05,"Commerce Department,MNC Group,Metallurgical Corporation of China (M.C.C.),Lido City Development,Hary Tanoesoedibjo,DT Lido Golf Manager,DT Lido Hotel Manager,DT Marks Lido,DT Lido Technical Services Manager",Lynn Walsh,Approved,,,2018-06-11
https://amp.businessinsider.com/charles-kushner-qatar-finance-minister-meeting-666-fifth-ave-2018-6,"Charles Kushner explains his meeting with Qatar's finance minister, says it was 'a wrong thing to do,' but 'none of us knew the rules of government'",Business Insider,2018-06-01,"Kushner Companies,666 Fifth Ave",Lynn Walsh,Approved,,,2018-06-12
https://www.nytimes.com/2018/05/28/business/ivanka-trump-china-trademarks.html,"Ivanka Trump Wins China Trademarks, Then Her Father Vows to Save ZTE",New York Times,2018-05-28,"China Trademark,Metallurgical Corporation of China (M.C.C.),Lido City Development,Hary Tanoesoedibjo,Ivanka Trump brand",Lynn Walsh,Approved,,,2018-06-12
http://thehill.com/homenews/house/389571-more-than-60-dem-lawmakers-demand-ethics-investigation-into-trumps,More than 60 Dem lawmakers demand ethics investigation into Trump's relationship with China,The Hill,2018-05-27,"Metallurgical Corporation of China (M.C.C.),Lido City Development,Hary Tanoesoedibjo,MNC Group",Lynn Walsh,Approved,,,2018-06-12
"http://www.chicagotribune.com/business/national/ct-kushner-cadre-softbank-funds-20180522-story,amp.html",Jared Kushner's tech startup seeking at least $100 million from Saudi-backed fund,Chicago Tribune,2018-05-22,"Cadre,SoftBank Vision Fund",Lynn Walsh,Approved,,,2018-06-12
https://www.npr.org/2017/05/11/527811206/sale-of-trump-property-raises-ethical-questions-about-potential-buyers-motives,Sale Of Trump Property Raises Ethical Questions About Potential Buyer's Motives,NPR,2017-05-11,"Trump International Hotels Management D/B/A Trump Hotel Collection,Trump Caribbean,Le Chateau des Palmiers",Lynn Walsh,Approved,,,2018-06-12
https://www.washingtonpost.com/news/post-politics/wp/2017/08/01/the-asking-price-for-president-trumps-caribbean-estate-has-been-cut-dramatically/?utm_term=.63fee190a91a,The asking price for President Trump’s Caribbean estate has been cut dramatically,Washington Post,2017-08-01,"Le Chateau des Palmiers,Trump Caribbean,Trump International Hotels Management D/B/A Trump Hotel Collection",Lynn Walsh,Approved,,,2018-06-12
https://www.washingtonpost.com/graphics/2018/politics/trump-hotel-events/?noredirect=on&utm_term=.e324edc7d621,Tracking who is spending money at President Trump’s D.C. hotel,Washington Post,2018-05-04,"Trump International Hotel DC,Trump Old Post Office",Lynn Walsh,Approved,,,2018-06-12
https://www.nytimes.com/2018/05/17/nyregion/kushner-deal-qatar-666-5th.html,Kushners Near Deal With Qatar-Linked Company for Troubled Tower,New York Times,2018-05-17,"666 Fifth Ave,Kushner Companies,Brookfield Asset Management",Lynn Walsh,Approved,,,2018-06-12
https://www.washingtonpost.com/politics/in-new-financial-disclosure-trump-reports-apparent-payment-through-his-personal-attorney-to-adult-film-star/2018/05/16/cf6171f2-592c-11e8-b656-a5f8c2a9295d_story.html?noredirect=on&utm_term=.ded1e82e4416,"In new financial disclosure, Trump reports apparent payment through his personal attorney to adult-film star",Washington Post,2018-05-16,"Stephanie Clifford (Aka Stormy Daniels),Michael Cohen",Lynn Walsh,Approved,,,2018-06-12
https://www.washingtonpost.com/politics/the-three-biggest-surprises-in-the-trump-organizations-financial-filings/2018/05/21/db2f0420-5c94-11e8-9ee3-49d6d4814c4c_story.html?utm_term=.64de8850a39d,The three biggest surprises in the Trump Organization’s financial filings,Washington Post,2018-05-21,"Mar-A-Lago Club,Trump Old Post Office,Trump International Hotel DC,Jupiter Golf Club,Trump International Golf Club - Florida,Trump International Golf Club Scotland,Trump International Golf Links - Scotland,Trump Scotland,Scotland Acquisitions",Lynn Walsh,Approved,,,2018-06-12
https://www.oge.gov/web/oge.nsf/All%20Documents/2C62A672E2AF5BAC8525825C00518004/$FILE/Letter%20to%20Congressman%20Krishnamoorthi.pdf?open,U.S. Office of Government Ethics (OGE) said the White House Counsel’s office is investigating whether loans to Jared Kushner’s family business broke laws or regulations,Office of Government Ethics,2018-03-22,"Kushner Companies,Apollo Management,Citibank",Lynn Walsh,Approved,,,2018-06-12
https://www.citizen.org/sites/default/files/may_2018_cohen_complaint_final.pdf,"Absence of registration by Michael D. Cohen as a foreign agent under FARA, and as a lobbyist under LDA",Press Release,2018-05-10,"Michael Cohen,Essential Consultants,Novartis,AT&T,Korean Aerospace Industries",Lynn Walsh,Approved,,,2018-06-12
https://www.cnn.com/2018/05/09/politics/michael-cohen-trump-lobbying/index.html,Inside Michael Cohen's aggressive pitch promising access to Trump,CNN,2018-05-10,"Michael Cohen,AT&T,Novartis,Korean Aerospace Industries,Stephanie Clifford (Aka Stormy Daniels),Essential Consultants",Lynn Walsh,Approved,,,2018-06-12
https://www.theguardian.com/us-news/2018/may/04/trump-qatar-buys-apartment-new-york-tower,Trump set to benefit as Qatar buys $6.5m apartment in New York tower,The Guardian,2018-05-04,"Trump Tower Commercial,Trump Tower Managing Member,Trump Tower Condominium,Qatar Government",Lynn Walsh,Approved,,,2018-06-12
https://www.palmbeachpost.com/news/national-govt--politics/mar-lago-events-raise-money-for-politicos-revenues-for-trump/F0EK7JzzOeDTT6nTSe8qyO/amp.html,"Mar-a-Lago events raise money for politicos, revenues for Trump",Palm Beach Post,2018-05-04,"Mar-A-Lago Club,Trump Miami Resort",Lynn Walsh,Approved,,,2018-06-12
https://www.propublica.org/article/trump-inc-podcast-vietnam-casino,"The Hidden Hand of a Casino Company in Trump’s Contact with Vietnam — “Trump, Inc.” Podcast",ProPublica,2018-04-25,"Marc Kasowitz,Country of Vietnam",Lynn Walsh,Approved,,,2018-06-12
https://amp.thedailybeast.com/trump-org-gifts-treasury-dollar150k-in-foreign-government-emoluments,Trump Org ‘Gifts’ Treasury $150K in Foreign ‘Emoluments’,Daily Beast,2018-04-18,"Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization,U.S. Treasury Department",Lynn Walsh,Approved,,,2018-06-12
https://www.marketwatch.com/story/philippine-government-party-to-be-held-at-trumps-dc-hotel-2018-04-19,Philippine government party to be held at Trump’s DC hotel,MarketWatch,2018-04-19,"Trump Old Post Office,Trump International Hotel DC,Philippine Government",Lynn Walsh,Approved,,,2018-06-12
https://www.nytimes.com/2018/04/09/us/politics/trump-mueller-ukraine-victor-pinchuk.html,"Mueller Investigating Ukrainian’s $150,000 Payment for a Trump Appearance",New York Times,2018-04-09,"Donald J. Trump Foundation,Victor Pinchuk,Michael Cohen",Lynn Walsh,Approved,,,2018-06-12
https://newrepublic.com/article/147351/political-corruption-art-deal,Political Corruption and the Art of the Deal How Trump's business partnerships in India are creating conflicts of interest in the White House and corrupting the presidency,The New Republic,2018-03-21,"DT India Venture,Trump International Hotels Management D/B/A Trump Hotel Collection",Lynn Walsh,Approved,,,2018-06-12
