Conflict,ConflictDescription,ConflictStatus,MediaOutlet,Link,PublicationDate,Headline
"Deutsche Bank","",Active, "NPR","https://www.npr.org/2019/04/30/718597829/trump-sues-2-banks-to-block-democrats-from-investigating-his-finances","04/30/2019","Trump Sues 2 Banks To Block Democrats From Investigating His Finances"
"Deutsche Bank","",Active, "NPR","https://www.npr.org/2019/04/30/718597829/trump-sues-2-banks-to-block-democrats-from-investigating-his-finances","04/30/2019","Trump Sues 2 Banks To Block Democrats From Investigating His Finances"
"The Trump Organization","The Trump Organization is the collective name for a group of approximately 500 business entities of which Donald Trump, the current U.S. President, is the sole or principal owner. The businesses include hotels, international real estate, golf clubs and more. While President Trump still owns the company, his sons, Donald Trump Jr. and Eric Trump, have day-to-day control.",Active, "NPR","https://www.npr.org/2019/04/30/718597829/trump-sues-2-banks-to-block-democrats-from-investigating-his-finances","04/30/2019","Trump Sues 2 Banks To Block Democrats From Investigating His Finances"
"Capital One","",Active, "CNN","https://www.cnn.com/2019/04/24/politics/deutsche-bank-trump-records/index.html","04/24/2019","Deutsche Bank begins process of providing Trump financial records to New York's attorney general"
"Capital One","",Active, "CNN","https://www.cnn.com/2019/04/24/politics/deutsche-bank-trump-records/index.html","04/24/2019","Deutsche Bank begins process of providing Trump financial records to New York's attorney general"
"Deutsche Bank","",Active, "CNN","https://www.cnn.com/2019/04/24/politics/deutsche-bank-trump-records/index.html","04/24/2019","Deutsche Bank begins process of providing Trump financial records to New York's attorney general"
"Deutsche Bank","",Active, "CNN","https://www.cnn.com/2019/04/24/politics/deutsche-bank-trump-records/index.html","04/24/2019","Deutsche Bank begins process of providing Trump financial records to New York's attorney general"
"FBI","",Active, "Washington Post","https://www.washingtonpost.com/graphics/2019/politics/read-the-mueller-report/?noredirect=on&utm_term=.89d65591f96b","04/20/2019","The Mueller report, annotated"
"Russia","",Active, "Washington Post","https://www.washingtonpost.com/graphics/2019/politics/read-the-mueller-report/?noredirect=on&utm_term=.89d65591f96b","04/20/2019","The Mueller report, annotated"
"U.S Department of Justice","As head of the executive branch, President Trump oversees the Justice Department and the United States' relations with the rest of the world. Through his businesses he still has a lengthy series of financial relationships with private institutions and countries with business before the United States.",Active, "Washington Post","https://www.washingtonpost.com/graphics/2019/politics/read-the-mueller-report/?noredirect=on&utm_term=.89d65591f96b","04/20/2019","The Mueller report, annotated"
"FBI","",Active, "CNN","https://www.cnn.com/politics/live-news/robert-mueller-report-public/index.html","04/18/2019","The Mueller report is out"
"FBI","",Active, "New York Times","https://www.nytimes.com/interactive/2019/04/18/us/politics/mueller-report-document.html?mtrref=www.google.com","04/18/2019","Read the Mueller Report: Searchable Document and Index"
"FBI","",Active, "Politifact","https://www.politifact.com/truth-o-meter/article/2019/apr/18/context-comparing-bill-barrs-summary-mueller-repor/","04/18/2019","In Context: Comparing Bill Barr’s summary of Mueller's findings to the publicly released report"
"FBI","",Active, "Time Magazine","http://time.com/5567077/mueller-report-release/","04/18/2019","Here Are the Biggest Takeaways From the Mueller Report"
"Russia","",Active, "CNN","https://www.cnn.com/politics/live-news/robert-mueller-report-public/index.html","04/18/2019","The Mueller report is out"
"Russia","",Active, "New York Times","https://www.nytimes.com/interactive/2019/04/18/us/politics/mueller-report-document.html?mtrref=www.google.com","04/18/2019","Read the Mueller Report: Searchable Document and Index"
"Russia","",Active, "Politifact","https://www.politifact.com/truth-o-meter/article/2019/apr/18/context-comparing-bill-barrs-summary-mueller-repor/","04/18/2019","In Context: Comparing Bill Barr’s summary of Mueller's findings to the publicly released report"
"Russia","",Active, "Time Magazine","http://time.com/5567077/mueller-report-release/","04/18/2019","Here Are the Biggest Takeaways From the Mueller Report"
"Trump National Golf Club - Washington DC","",Active, "CNN","https://www.cnn.com/2019/04/18/politics/mueller-trump-golf-club/index.html","04/18/2019","Mueller explains why his family left Trump's golf club"
"Trump National Golf Club - Washington DC","",Active, "CNN","https://www.cnn.com/2019/04/18/politics/mueller-trump-golf-club/index.html","04/18/2019","Mueller explains why his family left Trump's golf club"
"U.S Department of Justice","As head of the executive branch, President Trump oversees the Justice Department and the United States' relations with the rest of the world. Through his businesses he still has a lengthy series of financial relationships with private institutions and countries with business before the United States.",Active, "CNN","https://www.cnn.com/politics/live-news/robert-mueller-report-public/index.html","04/18/2019","The Mueller report is out"
"U.S Department of Justice","As head of the executive branch, President Trump oversees the Justice Department and the United States' relations with the rest of the world. Through his businesses he still has a lengthy series of financial relationships with private institutions and countries with business before the United States.",Active, "New York Times","https://www.nytimes.com/interactive/2019/04/18/us/politics/mueller-report-document.html?mtrref=www.google.com","04/18/2019","Read the Mueller Report: Searchable Document and Index"
"U.S Department of Justice","As head of the executive branch, President Trump oversees the Justice Department and the United States' relations with the rest of the world. Through his businesses he still has a lengthy series of financial relationships with private institutions and countries with business before the United States.",Active, "Politifact","https://www.politifact.com/truth-o-meter/article/2019/apr/18/context-comparing-bill-barrs-summary-mueller-repor/","04/18/2019","In Context: Comparing Bill Barr’s summary of Mueller's findings to the publicly released report"
"U.S Department of Justice","As head of the executive branch, President Trump oversees the Justice Department and the United States' relations with the rest of the world. Through his businesses he still has a lengthy series of financial relationships with private institutions and countries with business before the United States.",Active, "Time Magazine","http://time.com/5567077/mueller-report-release/","04/18/2019","Here Are the Biggest Takeaways From the Mueller Report"
"Bank of America","",Active, "CNN","https://www.cnn.com/2019/04/15/politics/deutsche-bank-subpoena/index.html","04/16/2019","House committees issue subpoenas to Deutsche Bank, JP Morgan Chase, Citigroup, Bank of America to probe Trump's finances"
"Bank of America","",Active, "CNN","https://www.cnn.com/2019/04/15/politics/deutsche-bank-subpoena/index.html","04/16/2019","House committees issue subpoenas to Deutsche Bank, JP Morgan Chase, Citigroup, Bank of America to probe Trump's finances"
"Citi Group","",Active, "CNN","https://www.cnn.com/2019/04/15/politics/deutsche-bank-subpoena/index.html","04/16/2019","House committees issue subpoenas to Deutsche Bank, JP Morgan Chase, Citigroup, Bank of America to probe Trump's finances"
"Deutsche Bank","",Active, "CNN","https://www.cnn.com/2019/04/15/politics/deutsche-bank-subpoena/index.html","04/16/2019","House committees issue subpoenas to Deutsche Bank, JP Morgan Chase, Citigroup, Bank of America to probe Trump's finances"
"Deutsche Bank","",Active, "CNN","https://www.cnn.com/2019/04/15/politics/deutsche-bank-subpoena/index.html","04/16/2019","House committees issue subpoenas to Deutsche Bank, JP Morgan Chase, Citigroup, Bank of America to probe Trump's finances"
"Deutsche Bank","",Active, "NBC","https://www.nbcnews.com/politics/congress/house-committees-subpoena-trump-s-bank-records-n994991","04/16/2019","House committees subpoena Trump's bank records"
"Deutsche Bank","",Active, "NBC","https://www.nbcnews.com/politics/congress/house-committees-subpoena-trump-s-bank-records-n994991","04/16/2019","House committees subpoena Trump's bank records"
"JP Morgan Chase","According to Trump’s May 2016 Federal Election Commission filing, which provides a range of values for each of his stock holdings, he owns anywhere from $500,000 to $1 million worth of shares each in Citigroup, JP Morgan Chase , Wells Fargo, Morgan Stanley and Goldman Sachs -- in other words, five of the famous “big six” banks.",Active, "CNN","https://www.cnn.com/2019/04/15/politics/deutsche-bank-subpoena/index.html","04/16/2019","House committees issue subpoenas to Deutsche Bank, JP Morgan Chase, Citigroup, Bank of America to probe Trump's finances"
"Capital One","",Active, "Washington Post","https://www.washingtonpost.com/business/democrats-subpoena-banks-as-they-probe-trump-finances/2019/04/15/d23a73f8-5feb-11e9-bf24-db4b9fb62aa2_story.html?utm_term=.bdafd5ba005a","04/15/2019","Democrats subpoena banks as they probe Trump finances"
"Capital One","",Active, "Washington Post","https://www.washingtonpost.com/business/democrats-subpoena-banks-as-they-probe-trump-finances/2019/04/15/d23a73f8-5feb-11e9-bf24-db4b9fb62aa2_story.html?utm_term=.bdafd5ba005a","04/15/2019","Democrats subpoena banks as they probe Trump finances"
"Deutsche Bank","",Active, "Washington Post","https://www.washingtonpost.com/business/democrats-subpoena-banks-as-they-probe-trump-finances/2019/04/15/d23a73f8-5feb-11e9-bf24-db4b9fb62aa2_story.html?utm_term=.bdafd5ba005a","04/15/2019","Democrats subpoena banks as they probe Trump finances"
"Deutsche Bank","",Active, "Washington Post","https://www.washingtonpost.com/business/democrats-subpoena-banks-as-they-probe-trump-finances/2019/04/15/d23a73f8-5feb-11e9-bf24-db4b9fb62aa2_story.html?utm_term=.bdafd5ba005a","04/15/2019","Democrats subpoena banks as they probe Trump finances"
"Russia","",Active, "Washington Post","https://www.washingtonpost.com/business/democrats-subpoena-banks-as-they-probe-trump-finances/2019/04/15/d23a73f8-5feb-11e9-bf24-db4b9fb62aa2_story.html?utm_term=.bdafd5ba005a","04/15/2019","Democrats subpoena banks as they probe Trump finances"
"The Trump Organization","The Trump Organization is the collective name for a group of approximately 500 business entities of which Donald Trump, the current U.S. President, is the sole or principal owner. The businesses include hotels, international real estate, golf clubs and more. While President Trump still owns the company, his sons, Donald Trump Jr. and Eric Trump, have day-to-day control.",Active, "Washington Post","https://www.washingtonpost.com/business/democrats-subpoena-banks-as-they-probe-trump-finances/2019/04/15/d23a73f8-5feb-11e9-bf24-db4b9fb62aa2_story.html?utm_term=.bdafd5ba005a","04/15/2019","Democrats subpoena banks as they probe Trump finances"
"Russia","",Active, "Washington Post","https://www.washingtonpost.com/politics/2019/04/11/most-potentially-damaging-congressional-investigations-trump-ranked/?utm_term=.cffb1c783a84","04/11/2019","The 6 most potentially damaging congressional investigations for Trump, ranked"
"The Trump Organization","The Trump Organization is the collective name for a group of approximately 500 business entities of which Donald Trump, the current U.S. President, is the sole or principal owner. The businesses include hotels, international real estate, golf clubs and more. While President Trump still owns the company, his sons, Donald Trump Jr. and Eric Trump, have day-to-day control.",Active, "Washington Post","https://www.washingtonpost.com/politics/2019/04/11/most-potentially-damaging-congressional-investigations-trump-ranked/?utm_term=.cffb1c783a84","04/11/2019","The 6 most potentially damaging congressional investigations for Trump, ranked"
"Trump Hotel","",Active, "CNN","https://www.cnn.com/2019/04/10/politics/defense-department-300000-at-trump-properties/index.html","04/10/2019","Defense Department charged $300,000 at Trump properties since 2017"
"Trump Hotel","",Active, "CNN","https://www.cnn.com/2019/04/10/politics/defense-department-300000-at-trump-properties/index.html","04/10/2019","Defense Department charged $300,000 at Trump properties since 2017"
"Trump National Doral","",Active, "CNN","https://www.cnn.com/2019/04/10/politics/defense-department-300000-at-trump-properties/index.html","04/10/2019","Defense Department charged $300,000 at Trump properties since 2017"
"The Trump Organization","The Trump Organization is the collective name for a group of approximately 500 business entities of which Donald Trump, the current U.S. President, is the sole or principal owner. The businesses include hotels, international real estate, golf clubs and more. While President Trump still owns the company, his sons, Donald Trump Jr. and Eric Trump, have day-to-day control.",Active, "CNN","https://www.cnn.com/2019/04/10/politics/defense-department-300000-at-trump-properties/index.html","04/10/2019","Defense Department charged $300,000 at Trump properties since 2017"
"U.S. Treasury Department","",Active, "CNN","https://www.cnn.com/2019/04/09/politics/mnuchin-tax-returns-trump/index.html","04/09/2019","Mnuchin clashes with Waters, defends consultation with White House on Trump tax returns"
"Michael Cohen","",Active, "BuzzFeed","https://www.buzzfeednews.com/article/emmaloop/in-new-documents-cohen-says-trump-instructed-him-to-lie","04/05/2019","In New Documents, Cohen Says Trump Instructed Him To Lie"
"Russia","",Active, "BuzzFeed","https://www.buzzfeednews.com/article/emmaloop/in-new-documents-cohen-says-trump-instructed-him-to-lie","04/05/2019","In New Documents, Cohen Says Trump Instructed Him To Lie"
"The Trump Organization","The Trump Organization is the collective name for a group of approximately 500 business entities of which Donald Trump, the current U.S. President, is the sole or principal owner. The businesses include hotels, international real estate, golf clubs and more. While President Trump still owns the company, his sons, Donald Trump Jr. and Eric Trump, have day-to-day control.",Active, "BuzzFeed","https://www.buzzfeednews.com/article/emmaloop/in-new-documents-cohen-says-trump-instructed-him-to-lie","04/05/2019","In New Documents, Cohen Says Trump Instructed Him To Lie"
"U.S Department of Justice","As head of the executive branch, President Trump oversees the Justice Department and the United States' relations with the rest of the world. Through his businesses he still has a lengthy series of financial relationships with private institutions and countries with business before the United States.",Active, "Washington Post","https://www.washingtonpost.com/amphtml/politics/jared-kushner-identified-as-senior-white-house-official-whose-security-clearance-was-denied-by-career-officials/2019/04/03/fefa8dbe-5623-11e9-814f-e2f46684196e_story.html","04/03/2019","Jared Kushner identified as senior White House official whose security clearance was denied by career officials"
"U.S Department of Justice","As head of the executive branch, President Trump oversees the Justice Department and the United States' relations with the rest of the world. Through his businesses he still has a lengthy series of financial relationships with private institutions and countries with business before the United States.",Active, "New York Times","https://www.nytimes.com/2019/04/01/us/politics/trump-security-clearances.html","04/01/2019","White House Whistle-Blower Tells Congress of Irregularities in Security Clearances"
"Deutsche Bank","",Active, "Washington Post","https://www.washingtonpost.com/graphics/2019/politics/trump-statements-of-financial-condition/?noredirect=on&utm_term=.13c08bffe480","03/28/2019","How Donald Trump inflated his net worth to lenders and investors"
"Deutsche Bank","",Active, "Washington Post","https://www.washingtonpost.com/graphics/2019/politics/trump-statements-of-financial-condition/?noredirect=on&utm_term=.13c08bffe480","03/28/2019","How Donald Trump inflated his net worth to lenders and investors"
"Trump National Golf Club - Los Angeles","",Active, "Washington Post","https://www.washingtonpost.com/graphics/2019/politics/trump-statements-of-financial-condition/?noredirect=on&utm_term=.13c08bffe480","03/28/2019","How Donald Trump inflated his net worth to lenders and investors"
"Trump National Golf Club - Los Angeles","",Active, "Washington Post","https://www.washingtonpost.com/graphics/2019/politics/trump-statements-of-financial-condition/?noredirect=on&utm_term=.13c08bffe480","03/28/2019","How Donald Trump inflated his net worth to lenders and investors"
"Trump Tower Commercial","",Active, "Washington Post","https://www.washingtonpost.com/graphics/2019/politics/trump-statements-of-financial-condition/?noredirect=on&utm_term=.13c08bffe480","03/28/2019","How Donald Trump inflated his net worth to lenders and investors"
"Trump Tower Commercial","",Active, "Washington Post","https://www.washingtonpost.com/graphics/2019/politics/trump-statements-of-financial-condition/?noredirect=on&utm_term=.13c08bffe480","03/28/2019","How Donald Trump inflated his net worth to lenders and investors"
"Trump Tower Condominium","",Active, "Washington Post","https://www.washingtonpost.com/graphics/2019/politics/trump-statements-of-financial-condition/?noredirect=on&utm_term=.13c08bffe480","03/28/2019","How Donald Trump inflated his net worth to lenders and investors"
"Trump Tower Condominium","",Active, "Washington Post","https://www.washingtonpost.com/graphics/2019/politics/trump-statements-of-financial-condition/?noredirect=on&utm_term=.13c08bffe480","03/28/2019","How Donald Trump inflated his net worth to lenders and investors"
"Trump Vineyard Estates (Formerly Eric Trump Land Holdings)","",Active, "Washington Post","https://www.washingtonpost.com/graphics/2019/politics/trump-statements-of-financial-condition/?noredirect=on&utm_term=.13c08bffe480","03/28/2019","How Donald Trump inflated his net worth to lenders and investors"
"Trump Vineyard Estates (Formerly Eric Trump Land Holdings)","",Active, "Washington Post","https://www.washingtonpost.com/graphics/2019/politics/trump-statements-of-financial-condition/?noredirect=on&utm_term=.13c08bffe480","03/28/2019","How Donald Trump inflated his net worth to lenders and investors"
"The Trump Organization","The Trump Organization is the collective name for a group of approximately 500 business entities of which Donald Trump, the current U.S. President, is the sole or principal owner. The businesses include hotels, international real estate, golf clubs and more. While President Trump still owns the company, his sons, Donald Trump Jr. and Eric Trump, have day-to-day control.",Active, "Washington Post","https://www.washingtonpost.com/graphics/2019/politics/trump-statements-of-financial-condition/?noredirect=on&utm_term=.13c08bffe480","03/28/2019","How Donald Trump inflated his net worth to lenders and investors"
"Old Post Office Hotel","Prior to Donald Trump's official bid for the White House, the Trump Organization secured a 60-year lease with the U.S. government to renovate a historic post office in Washington, D.C., into a luxury, mixed-use development. The arrangement presents ongoing concerns now that Donald Trump is the U.S. government's chief executive. His position as both landlord and tenant opens opportunities for self-dealing that could prioritize his business interests over government efficiency. Additionally, foreign dignitaries and business representatives may book hotel stays and events as a means of currying favor with the president. A contractual clause designed to avoid such conflicts of interest prevents any elected official from sharing or benefiting from the lease. Because Trump did not divest of his business interest upon taking office, he may be violating the contract. However, his interests as either landlord and tenant would not be served by terminating the lease.",Active, "WNYC","https://www.wnycstudios.org/story/trump-inc-romanian-prime-minister-guest-trump-hotel","03/26/2019","Romanian Prime Minister Is Staying at Trump’s D.C. Hotel"
"The Trump Organization","The Trump Organization is the collective name for a group of approximately 500 business entities of which Donald Trump, the current U.S. President, is the sole or principal owner. The businesses include hotels, international real estate, golf clubs and more. While President Trump still owns the company, his sons, Donald Trump Jr. and Eric Trump, have day-to-day control.",Active, "Mother Jones","https://www.motherjones.com/politics/2019/03/the-trump-organization-is-selling-merchandise-with-images-of-the-white-house/","03/24/2019","The Trump Organization Is Selling Merchandise With Images of the White House"
"The Trump Organization","The Trump Organization is the collective name for a group of approximately 500 business entities of which Donald Trump, the current U.S. President, is the sole or principal owner. The businesses include hotels, international real estate, golf clubs and more. While President Trump still owns the company, his sons, Donald Trump Jr. and Eric Trump, have day-to-day control.",Active, "Washington Post","https://www.washingtonpost.com/politics/trumps-legal-troubles-are-far-from-over-even-as-mueller-probe-ends/2019/03/23/397fd1e8-4d68-11e9-93d0-64dbcf38ba41_story.html?utm_term=.05776787f816","03/23/2019","Trump’s legal troubles are far from over even as Mueller probe ends"
"Russia","",Active, "WNYC","https://www.wnycstudios.org/story/trump-inc-trump-moscow-tower-problem","03/21/2019","Trump’s Moscow Tower Problem"
"The Trump Organization","The Trump Organization is the collective name for a group of approximately 500 business entities of which Donald Trump, the current U.S. President, is the sole or principal owner. The businesses include hotels, international real estate, golf clubs and more. While President Trump still owns the company, his sons, Donald Trump Jr. and Eric Trump, have day-to-day control.",Active, "WNYC","https://www.wnycstudios.org/story/trump-inc-trump-moscow-tower-problem","03/21/2019","Trump’s Moscow Tower Problem"
"Russia","",Active, "Washington Post","https://www.washingtonpost.com/politics/house-democrats-to-question-former-business-associate-of-trump-as-part-of-probe/2019/03/20/cf191318-4b4c-11e9-b871-978e5c757325_story.html?utm_term=.3c4fb08b5a4b","03/20/2019","House Democrats to question former business associate of Trump as part of probe"
"The Trump Organization","The Trump Organization is the collective name for a group of approximately 500 business entities of which Donald Trump, the current U.S. President, is the sole or principal owner. The businesses include hotels, international real estate, golf clubs and more. While President Trump still owns the company, his sons, Donald Trump Jr. and Eric Trump, have day-to-day control.",Active, "Washington Post","https://www.washingtonpost.com/politics/house-democrats-to-question-former-business-associate-of-trump-as-part-of-probe/2019/03/20/cf191318-4b4c-11e9-b871-978e5c757325_story.html?utm_term=.3c4fb08b5a4b","03/20/2019","House Democrats to question former business associate of Trump as part of probe"
"Kushner Companies","",Active, "Associated Press","https://www.apnews.com/879e975264c4440a910082bc1c3c2e9a","03/19/2019","NYC official: Kushner firm flouted rules, endangered tenants"
"Kushner Companies","",Active, "Associated Press","https://www.apnews.com/879e975264c4440a910082bc1c3c2e9a","03/19/2019","NYC official: Kushner firm flouted rules, endangered tenants"
"Kushner Companies","",Active, "Wall Street Journal","https://www.wsj.com/amp/articles/kushner-cos-scaling-back-in-new-york-as-public-scrutiny-heats-up-11552993200","03/19/2019","Kushner Cos. Scaling Back in New York as Public Scrutiny Heats Up"
"Kushner Companies","",Active, "Wall Street Journal","https://www.wsj.com/amp/articles/kushner-cos-scaling-back-in-new-york-as-public-scrutiny-heats-up-11552993200","03/19/2019","Kushner Cos. Scaling Back in New York as Public Scrutiny Heats Up"
"Old Post Office Hotel","Prior to Donald Trump's official bid for the White House, the Trump Organization secured a 60-year lease with the U.S. government to renovate a historic post office in Washington, D.C., into a luxury, mixed-use development. The arrangement presents ongoing concerns now that Donald Trump is the U.S. government's chief executive. His position as both landlord and tenant opens opportunities for self-dealing that could prioritize his business interests over government efficiency. Additionally, foreign dignitaries and business representatives may book hotel stays and events as a means of currying favor with the president. A contractual clause designed to avoid such conflicts of interest prevents any elected official from sharing or benefiting from the lease. Because Trump did not divest of his business interest upon taking office, he may be violating the contract. However, his interests as either landlord and tenant would not be served by terminating the lease.",Active, "CNN","https://www.cnn.com/2019/03/19/politics/trump-hotel-case-emoluments-appeal/index.html","03/19/2019","DC attorney general says he'll fight Trump hotel case to Supreme Court"
"Old Post Office Hotel","Prior to Donald Trump's official bid for the White House, the Trump Organization secured a 60-year lease with the U.S. government to renovate a historic post office in Washington, D.C., into a luxury, mixed-use development. The arrangement presents ongoing concerns now that Donald Trump is the U.S. government's chief executive. His position as both landlord and tenant opens opportunities for self-dealing that could prioritize his business interests over government efficiency. Additionally, foreign dignitaries and business representatives may book hotel stays and events as a means of currying favor with the president. A contractual clause designed to avoid such conflicts of interest prevents any elected official from sharing or benefiting from the lease. Because Trump did not divest of his business interest upon taking office, he may be violating the contract. However, his interests as either landlord and tenant would not be served by terminating the lease.",Active, "NPR","https://www.npr.org/2019/03/19/704700582/appeals-court-in-virginia-to-hear-arguments-in-trump-hotel-lawsuit","03/19/2019","Appeals Court In Virginia To Hear Arguments In Trump Hotel Lawsuit"
"Old Post Office Hotel","Prior to Donald Trump's official bid for the White House, the Trump Organization secured a 60-year lease with the U.S. government to renovate a historic post office in Washington, D.C., into a luxury, mixed-use development. The arrangement presents ongoing concerns now that Donald Trump is the U.S. government's chief executive. His position as both landlord and tenant opens opportunities for self-dealing that could prioritize his business interests over government efficiency. Additionally, foreign dignitaries and business representatives may book hotel stays and events as a means of currying favor with the president. A contractual clause designed to avoid such conflicts of interest prevents any elected official from sharing or benefiting from the lease. Because Trump did not divest of his business interest upon taking office, he may be violating the contract. However, his interests as either landlord and tenant would not be served by terminating the lease.",Active, "Washington Post","https://www.washingtonpost.com/local/legal-issues/trump-hotel-emoluments-case-is-at-federal-appeals-court-as-president-asks-for-it-to-be-thrown-out/2019/03/18/520c10bc-473e-11e9-90f0-0ccfeec87a61_story.html?utm_term=.64b520047f27","03/19/2019","Judges seem skeptical Trump is illegally profiting from his D.C. hotel"
"The Trump Organization","The Trump Organization is the collective name for a group of approximately 500 business entities of which Donald Trump, the current U.S. President, is the sole or principal owner. The businesses include hotels, international real estate, golf clubs and more. While President Trump still owns the company, his sons, Donald Trump Jr. and Eric Trump, have day-to-day control.",Active, "CNN","https://www.cnn.com/2019/03/19/politics/trump-hotel-case-emoluments-appeal/index.html","03/19/2019","DC attorney general says he'll fight Trump hotel case to Supreme Court"
"The Trump Organization","The Trump Organization is the collective name for a group of approximately 500 business entities of which Donald Trump, the current U.S. President, is the sole or principal owner. The businesses include hotels, international real estate, golf clubs and more. While President Trump still owns the company, his sons, Donald Trump Jr. and Eric Trump, have day-to-day control.",Active, "NPR","https://www.npr.org/2019/03/19/704700582/appeals-court-in-virginia-to-hear-arguments-in-trump-hotel-lawsuit","03/19/2019","Appeals Court In Virginia To Hear Arguments In Trump Hotel Lawsuit"
"The Trump Organization","The Trump Organization is the collective name for a group of approximately 500 business entities of which Donald Trump, the current U.S. President, is the sole or principal owner. The businesses include hotels, international real estate, golf clubs and more. While President Trump still owns the company, his sons, Donald Trump Jr. and Eric Trump, have day-to-day control.",Active, "Washington Post","https://www.washingtonpost.com/local/legal-issues/trump-hotel-emoluments-case-is-at-federal-appeals-court-as-president-asks-for-it-to-be-thrown-out/2019/03/18/520c10bc-473e-11e9-90f0-0ccfeec87a61_story.html?utm_term=.64b520047f27","03/19/2019","Judges seem skeptical Trump is illegally profiting from his D.C. hotel"
"Deutsche Bank","",Active, "New York Times","https://www.nytimes.com/2019/03/18/business/trump-deutsche-bank.html","03/18/2019","A Mar-a-Lago Weekend and an Act of God: Trump’s History With Deutsche Bank"
"Deutsche Bank","",Active, "New York Times","https://www.nytimes.com/2019/03/18/business/trump-deutsche-bank.html","03/18/2019","A Mar-a-Lago Weekend and an Act of God: Trump’s History With Deutsche Bank"
"Mar-a-Lago Club","Mar-A-Lago is a resort and golf club located in Palm Beach, Florida. President Trump purchased Mar-a-Lago in 1985, turning it into a private club and golf course, managed by the Trump Organization, ten years later. The resort seems to be President Trump’s choice destination out of all of the properties he owns. In his first year in office, he spent more time there, a total of 52 days, than any other Trump-branded property. It is also a National Historic Landmark.",Active, "New York Times","https://www.nytimes.com/2019/03/18/business/trump-deutsche-bank.html","03/18/2019","A Mar-a-Lago Weekend and an Act of God: Trump’s History With Deutsche Bank"
